Train,Gilroy,San Martin,Morgan Hill,Blossom Hill,Capitol,Tamien,San Jose,College Park,Santa Clara,Lawrence,Sunnyvale,Mountain View,San Antonio,California Ave,Palo Alto,Menlo Park,Redwood City,San Carlos,Belmont,Hillsdale,Hayward Park,San Mateo,Burlingame,Millbrae,San Bruno,So. San Francisco,Bayshore,22nd Street,San Francisco
269,        ,          ,           ,            ,       ,4:32  ,4:39    ,-           ,4:44       ,4:52    ,4:58     ,5:03         ,5:07       ,5:11          ,5:16     ,5:19      ,5:25        ,5:29      ,-      ,-        ,-           ,5:36     ,-         ,5:43    ,-        ,-                ,-       ,5:55       ,6:02         
371,        ,          ,           ,            ,       ,      ,4:45    ,-           ,-          ,-       ,-        ,4:58         ,-          ,-             ,5:06     ,-         ,-           ,-         ,-      ,5:17     ,-           ,-        ,-         ,5:25    ,-        ,-                ,-       ,5:37       ,5:44         
273,        ,          ,           ,            ,       ,4:58  ,5:05    ,-           ,5:10       ,-       ,-        ,-            ,-          ,-             ,5:24     ,-         ,5:31        ,5:35      ,5:38   ,5:42     ,5:45        ,5:48     ,5:51      ,5:57    ,6:01     ,6:05             ,6:13*   ,6:21*      ,6:29         
375,        ,          ,           ,            ,       ,      ,5:23    ,-           ,-          ,-       ,         ,5:35         ,-          ,-             ,5:43     ,5:46      ,5:52        ,-         ,-      ,-        ,-           ,-        ,-         ,6:05    ,-        ,-                ,-       ,6:17       ,6:24         
277,        ,          ,           ,            ,       ,      ,5:31    ,-           ,-          ,5:39    ,-        ,5:46         ,-          ,-             ,5:54     ,5:57      ,-           ,6:04      ,-      ,6:08     ,-           ,6:12     ,6:15      ,-       ,6:22     ,-                ,-       ,-          ,6:39         
279,        ,          ,           ,            ,       ,5:32  ,5:39    ,-           ,5:44       ,5:52    ,5:58     ,6:03         ,6:07       ,6:11          ,6:16     ,6:19      ,6:25        ,6:29      ,-      ,-        ,-           ,6:36     ,-         ,6:43    ,-        ,-                ,-       ,6:55       ,7:02         
381,        ,          ,           ,            ,       ,      ,5:45    ,-           ,-          ,-       ,-        ,5:58         ,-          ,-             ,6:06     ,-         ,-           ,-         ,-      ,6:17     ,-           ,-        ,-         ,6:25    ,-        ,-                ,-       ,6:37       ,6:44         
283,        ,          ,           ,            ,       ,5:58  ,6:05    ,-           ,6:10       ,-       ,-        ,-            ,-          ,-             ,6:24     ,-         ,6:31        ,6:35      ,6:38   ,6:42     ,6:45        ,6:48     ,6:51      ,6:57    ,7:01     ,7:05             ,7:13*   ,7:21*      ,7:29         
385,        ,          ,           ,            ,       ,      ,6:23    ,-           ,-          ,-       ,-        ,6:35         ,-          ,-             ,6:43     ,6:46      ,6:52        ,-         ,-      ,-        ,-           ,-        ,-         ,7:05    ,-        ,-                ,-       ,7:17       ,7:24         
287,        ,          ,           ,            ,       ,6:24  ,6:31    ,-           ,-          ,6:39    ,-        ,6:46         ,-          ,-             ,6:54     ,6:57      ,-           ,7:04      ,-      ,7:08     ,-           ,7:12     ,7:15      ,-       ,7:22     ,-                ,-       ,-          ,7:39         
289,        ,          ,           ,            ,       ,      ,6:45    ,-           ,-          ,6:53    ,-        ,7:00         ,-          ,7:06          ,7:10     ,7:13      ,7:19        ,7:23      ,-      ,7:28     ,-           ,7:32     ,7:35      ,7:41    ,-        ,-                ,-       ,7:53       ,8:00         
191,        ,          ,           ,            ,       ,      ,6:50    ,-           ,6:55       ,7:00    ,7:04     ,7:09         ,7:13       ,7:17          ,7:21     ,7:24      ,7:29        ,7:33      ,7:36   ,7:39     ,7:42        ,7:45     ,7:48      ,7:53    ,7:57     ,8:01             ,8:07    ,8:12       ,8:21         
193,        ,          ,           ,            ,       ,      ,7:30    ,-           ,7:35       ,7:40    ,7:44     ,7:49         ,7:53       ,7:57          ,8:01     ,8:04      ,8:09        ,8:13      ,8:16   ,8:19     ,8:22        ,8:25     ,8:28      ,8:33    ,8:37     ,8:41             ,8:47    ,8:52       ,9:01         
195,        ,          ,           ,            ,       ,8:23  ,8:30    ,-           ,8:35       ,8:40    ,8:44     ,8:49         ,8:53       ,8:57          ,9:01     ,9:04      ,9:09        ,9:13      ,9:16   ,9:19     ,9:22        ,9:25     ,9:28      ,9:33    ,9:37     ,9:41             ,9:47    ,9:52       ,10:01        
197,        ,          ,           ,            ,       ,9:23  ,9:30    ,-           ,9:35       ,9:40    ,9:44     ,9:49         ,9:53       ,9:57          ,10:01    ,10:04     ,10:09       ,10:13     ,10:16  ,10:19    ,10:22       ,10:25    ,10:28     ,10:33   ,10:37    ,10:41            ,10:47   ,10:52      ,11:01        
199,        ,          ,           ,            ,       ,      ,10:30   ,-           ,10:35      ,10:40   ,10:44    ,10:49        ,10:53      ,10:57         ,11:01    ,11:04     ,11:09       ,11:13     ,11:16  ,11:19    ,11:22       ,11:25    ,11:28     ,11:33   ,11:37    ,11:41            ,11:47   ,11:52      ,12:01        
